Department,Department Category,Organization,Position,Year,Salary,Real Salary (2013 dollars)
Chemistry & Biochemistry,Science and Math,MU,Professor,1992,63398,105312.29
Chemistry & Biochemistry,Science and Math,MU,Professor,1991,62780,107316.24
Chemistry & Biochemistry,Science and Math,MU,Professor,1990,51256,91365.42
Classics,Humanities,MU,Professor,2009,102779,111595.01
Classics,Humanities,MU,Professor,2008,102779,111232.68
Classics,Humanities,MU,Professor,2007,99699,112021.35
Classics,Humanities,MU,Professor,2006,95940,110913.29
Classics,Humanities,MU,Professor,2005,94717,113027.45
Classics,Humanities,MU,Professor,2004,92451,113996.3
Classics,Humanities,MU,Professor,2003,85626,108387.34
Classics,Humanities,MU,Professor,2002,82884,107362.69
Classics,Humanities,MU,Professor,2001,79855,105072.37
Classics,Humanities,MU,Professor,2000,77335,104648.17
Classics,Humanities,MU,Professor,1999,72941,102015.38
Classics,Humanities,MU,Professor,1998,70467,100667.14
Classics,Humanities,MU,Professor,1997,66867,97049.35
Classics,Humanities,MU,Professor,1996,63450,94139.47
Classics,Humanities,MU,Professor,1995,63900,97706.42
Classics,Humanities,MU,Professor,1994,61200,96226.42
Classics,Humanities,MU,Professor,1993,58500,94354.84
Classics,Humanities,MU,Professor,1992,52486,87186.05
Classics,Humanities,MU,Professor,1991,51967,88832.48
Classics,Humanities,MU,Professor,1990,49750,88680.93
Communication,Humanities,MU,Professor,2009,85113,92413.68
Communication,Humanities,MU,Professor,2008,85113,92113.64
Communication,Humanities,MU,Professor,2007,83037,93300
Communication,Humanities,MU,Professor,2006,80651,93238.15
Communication,Humanities,MU,Professor,2005,78672,93880.67
Communication,Humanities,MU,Professor,2004,75934,93630.09
Communication,Humanities,MU,Professor,2003,73437,92958.23
Communication,Humanities,MU,Professor,2002,70017,90695.6
Communication,Humanities,MU,Professor,2001,68805,90532.89
Communication,Humanities,MU,Professor,2000,65567,88723.95
Communication,Humanities,MU,Professor,1998,67721,96744.29
Comparative Religion,Humanities,MU,Professor,2009,101789,110520.09
Comparative Religion,Humanities,MU,Professor,2008,101789,110161.26
Comparative Religion,Humanities,MU,Professor,2007,99202,111462.92
Comparative Religion,Humanities,MU,Professor,2006,96120,111121.39
Comparative Religion,Humanities,MU,Professor,2005,94916,113264.92
Comparative Religion,Humanities,MU,Professor,2004,92056,113509.25
Comparative Religion,Humanities,MU,Professor,2003,88442,111951.9
Comparative Religion,Humanities,MU,Professor,2002,94801,122799.22
Comparative Religion,Humanities,MU,Professor,2001,89544,117821.05
Comparative Religion,Humanities,MU,Professor,2000,87424,118300.41
Comparative Religion,Humanities,MU,Professor,1999,79626,111365.03
Comparative Religion,Humanities,MU,Professor,1998,76350,109071.43
Comparative Religion,Humanities,MU,Professor,1997,71900,104354.14
Comparative Religion,Humanities,MU,Professor,1996,67850,100667.66
Comparative Religion,Humanities,MU,Professor,1995,64700,98929.66
Comparative Religion,Humanities,MU,Professor,1994,64217,100970.13
Comparative Religion,Humanities,MU,Professor,1993,64875,104637.1
Comparative Religion,Humanities,MU,Professor,1992,62721,104187.71
Comparative Religion,Humanities,MU,Professor,1991,62100,106153.85
Comparative Religion,Humanities,MU,Professor,1990,60150,107219.25
Software Engineering,Engineering and Computer Science,MU,Professor,2009,117385,127453.85
MIS,Business,MU,Professor,2009,148190,160901.19
Economics,Business,MU,Professor,2009,117789,127892.51
Economics,Business,MU,Professor,2008,117789,127477.27
Economics,Business,MU,Professor,2007,113403,127419.1
Economics,Business,MU,Professor,2006,109213,126257.8
Economics,Business,MU,Professor,2005,101949,121657.52
Economics,Business,MU,Professor,2004,95919,118272.5
Economics,Business,MU,Professor,2003,93518,118377.22
Economics,Business,MU,Professor,2002,90738,117536.27
Economics,Business,MU,Professor,2001,89207,117377.63
Economics,Business,MU,Professor,2000,86190,116630.58
Economics,Business,MU,Professor,1999,82665,115615.38
Economics,Business,MU,Professor,1998,78361,111944.29
Economics,Business,MU,Professor,1997,73500,106676.34
Economics,Business,MU,Professor,1996,68847,102146.88
Economics,Business,MU,Professor,1995,65608,100318.04
Economics,Business,MU,Professor,1994,62883,98872.64
Economics,Business,MU,Professor,1993,60041,96840.32
Economics,Business,MU,Professor,1992,59865,99443.52
Economics,Business,MU,Professor,1991,60345,103153.85
Economics,Business,MU,Professor,1990,59120,105383.24
Educational Leadership,Education and Health,MU,Professor,2009,93794,101839.31
Educational Leadership,Education and Health,MU,Professor,2008,94398,102162.34
Educational Leadership,Education and Health,MU,Professor,2007,94085,105713.48
Educational Leadership,Education and Health,MU,Professor,2006,92712,107181.5
Educational Leadership,Education and Health,MU,Professor,2005,86483,103201.67
Educational Leadership,Education and Health,MU,Professor,2004,81548,100552.4
Educational Leadership,Education and Health,MU,Professor,2003,80315,101664.56
Educational Leadership,Education and Health,MU,Professor,2002,80177,103856.22
Educational Leadership,Education and Health,MU,Professor,2001,80547,105982.89
Educational Leadership,Education and Health,MU,Professor,2000,78629,106399.19
Educational Leadership,Education and Health,MU,Professor,1999,73072,102198.6
Educational Leadership,Education and Health,MU,Professor,1998,69847,99781.43
Educational Leadership,Education and Health,MU,Professor,1997,71474,103735.85
Educational Leadership,Education and Health,MU,Professor,1996,69040,102433.23
Educational Leadership,Education and Health,MU,Professor,1995,66820,102171.25
Educational Leadership,Education and Health,MU,Professor,1994,64340,101163.52
Educational Leadership,Education and Health,MU,Professor,1993,61750,99596.77
Educational Leadership,Education and Health,MU,Professor,1992,64908,107820.6
Educational Leadership,Education and Health,MU,Professor,1991,63500,108547.01
Educational Leadership,Education and Health,MU,Professor,1990,61529,109677.36
Educational Psychology,Education and Health,MU,Professor,2009,93388,101398.48
Educational Psychology,Education and Health,MU,Professor,2008,95858,103742.42
Educational Psychology,Education and Health,MU,Professor,2007,90383,101553.93
Educational Psychology,Education and Health,MU,Professor,2006,85280,98589.6
Educational Psychology,Education and Health,MU,Professor,2005,83977,100211.22
Educational Psychology,Education and Health,MU,Professor,2004,81592,100606.66
Educational Psychology,Education and Health,MU,Professor,2003,84822,107369.62
Educational Psychology,Education and Health,MU,Professor,2002,82745,107182.64
Educational Psychology,Education and Health,MU,Professor,2001,71646,94271.05
Educational Psychology,Education and Health,MU,Professor,2000,77064,104281.46
Educational Psychology,Education and Health,MU,Professor,1999,74366,104008.39
Educational Psychology,Education and Health,MU,Professor,1998,69882,99831.43
Educational Psychology,Education and Health,MU,Professor,1997,66542,96577.65
Educational Psychology,Education and Health,MU,Professor,1996,64456,95632.05
Educational Psychology,Education and Health,MU,Professor,1995,61330,93770.68
Educational Psychology,Education and Health,MU,Professor,1994,58240,91572.33
Educational Psychology,Education and Health,MU,Professor,1993,55378,89319.35
Educational Psychology,Education and Health,MU,Professor,1992,56868,94465.12
Educational Psychology,Education and Health,MU,Professor,1991,56417,96439.32
Educational Psychology,Education and Health,MU,Professor,1990,55280,98538.32
Electrical & Computer Engineering,Engineering and Computer Science,MU,Professor,2009,108328,117619.98
Electrical & Computer Engineering,Engineering and Computer Science,MU,Professor,2008,120260,130151.52
Electrical & Computer Engineering,Engineering and Computer Science,MU,Professor,2007,103420,116202.25
Electrical & Computer Engineering,Engineering and Computer Science,MU,Professor,2006,101420,117248.55
Electrical & Computer Engineering,Engineering and Computer Science,MU,Professor,2005,99921,119237.47
Electrical & Computer Engineering,Engineering and Computer Science,MU,Professor,2004,97962,120791.62
English,Humanities,MU,Professor,2009,98695,107160.69
English,Humanities,MU,Professor,2008,99384,107558.44
English,Humanities,MU,Professor,2007,94899,106628.09
English,Humanities,MU,Professor,2006,90929,105120.23
English,Humanities,MU,Professor,2005,91000,108591.89
English,Humanities,MU,Professor,2004,88600,109247.84
English,Humanities,MU,Professor,2003,86359,109315.19
English,Humanities,MU,Professor,2002,82256,106549.22
English,Humanities,MU,Professor,2001,82189,108143.42
English,Humanities,MU,Professor,2000,80460,108876.86
English,Humanities,MU,Professor,1999,74374,104019.58
English,Humanities,MU,Professor,1998,70608,100868.57
English,Humanities,MU,Professor,1997,65853,95577.65
English,Humanities,MU,Professor,1996,63365,94013.35
English,Humanities,MU,Professor,1995,61678,94308.87
English,Humanities,MU,Professor,1994,60668,95389.94
English,Humanities,MU,Professor,1993,57784,93200
English,Humanities,MU,Professor,1992,55704,92531.56
English,Humanities,MU,Professor,1991,55548,94953.85
English,Humanities,MU,Professor,1990,53794,95889.48
Family Studies & Social Work,Humanities,MU,Professor,2009,106770,115928.34
Family Studies & Social Work,Humanities,MU,Professor,2008,106770,115551.95
Family Studies & Social Work,Humanities,MU,Professor,2007,102100,114719.1
Family Studies & Social Work,Humanities,MU,Professor,2006,98501,113873.99
Family Studies & Social Work,Humanities,MU,Professor,2005,89281,106540.57
Family Studies & Social Work,Humanities,MU,Professor,2004,86357,106482.12
Family Studies & Social Work,Humanities,MU,Professor,2003,89113,112801.27
Family Studies & Social Work,Humanities,MU,Professor,2002,84992,110093.26
Family Studies & Social Work,Humanities,MU,Professor,2001,82345,108348.68
Family Studies & Social Work,Humanities,MU,Professor,2000,79650,107780.78
Family Studies & Social Work,Humanities,MU,Professor,1999,75085,105013.99
Family Studies & Social Work,Humanities,MU,Professor,1998,69394,99134.29
Family Studies & Social Work,Humanities,MU,Professor,1997,66758,96891.15
Family Studies & Social Work,Humanities,MU,Professor,1996,68426,101522.26
Family Studies & Social Work,Humanities,MU,Professor,1995,65700,100458.72
Family Studies & Social Work,Humanities,MU,Professor,1994,61433.3333333333,96593.29
Family Studies & Social Work,Humanities,MU,Professor,1993,64283,103682.26
Family Studies & Social Work,Humanities,MU,Professor,1992,61946.6666666667,102901.44
Family Studies & Social Work,Humanities,MU,Professor,1991,56925,97307.69
Family Studies & Social Work,Humanities,MU,Professor,1990,56833,101306.6
Finance,Business,MU,Professor,2009,155732,169090.12
Finance,Business,MU,Professor,2008,151262,163703.46
Finance,Business,MU,Professor,2007,147985,166275.28
Finance,Business,MU,Professor,2006,138299,159883.24
Finance,Business,MU,Professor,2005,131137,156488.07
Finance,Business,MU,Professor,2004,112218,138369.91
Finance,Business,MU,Professor,2003,113573,143763.29
Finance,Business,MU,Professor,2002,119231,154444.3
Finance,Business,MU,Professor,2001,108646,142955.26
Finance,Business,MU,Professor,2000,105934,143347.77
Finance,Business,MU,Professor,1999,101879,142488.11
Finance,Business,MU,Professor,1998,97480,139257.14
Finance,Business,MU,Professor,1997,92005,133534.11
Finance,Business,MU,Professor,1996,84900,125964.39
Finance,Business,MU,Professor,1995,79140,121009.17
Finance,Business,MU,Professor,1994,78150,122877.36
Finance,Business,MU,Professor,1993,71227,114882.26
Finance,Business,MU,Professor,1992,69522,115485.05
Finance,Business,MU,Professor,1991,70625,120726.5
Finance,Business,MU,Professor,1990,68525,122147.95
French & Italian,Humanities,MU,Professor,2009,98285,106715.53
French & Italian,Humanities,MU,Professor,2008,98285,106369.05
French & Italian,Humanities,MU,Professor,2007,97359,109392.13
French & Italian,Humanities,MU,Professor,2006,95935,110907.51
French & Italian,Humanities,MU,Professor,2005,89268,106525.06
French & Italian,Humanities,MU,Professor,2004,84077,103670.78
French & Italian,Humanities,MU,Professor,2003,80816,102298.73
French & Italian,Humanities,MU,Professor,2002,75156,97352.33
French & Italian,Humanities,MU,Professor,2001,71103,93556.58
French & Italian,Humanities,MU,Professor,2000,68841,93154.26
French & Italian,Humanities,MU,Professor,1999,65737,91939.86
French & Italian,Humanities,MU,Professor,1998,63160,90228.57
French & Italian,Humanities,MU,Professor,1997,60035,87133.53
French & Italian,Humanities,MU,Professor,1996,60122,89201.78
French & Italian,Humanities,MU,Professor,1995,58157,88925.08
French & Italian,Humanities,MU,Professor,1994,55971,88004.72
French & Italian,Humanities,MU,Professor,1993,52539,84740.32
French & Italian,Humanities,MU,Professor,1992,48604,80737.54
French & Italian,Humanities,MU,Professor,1991,54175,92606.84
French & Italian,Humanities,MU,Professor,1990,51033,90967.91
Geography,Social Science,MU,Professor,2009,87065,94533.12
Geography,Social Science,MU,Professor,2008,90325,97754.33
Geography,Social Science,MU,Professor,2007,86355,97028.09
Geography,Social Science,MU,Professor,2006,85519,98865.9
Geography,Social Science,MU,Professor,2005,80591,96170.64
Geography,Social Science,MU,Professor,2004,85750,105733.66
Geography,Social Science,MU,Professor,2003,78930,99911.39
Geography,Social Science,MU,Professor,2002,82782,107230.57
Geography,Social Science,MU,Professor,2001,80649,106117.11
Geography,Social Science,MU,Professor,2000,78375,106055.48
Geography,Social Science,MU,Professor,1999,74005,103503.5
Geography,Social Science,MU,Professor,1998,70333,100475.71
Geography,Social Science,MU,Professor,1997,68908,100011.61
Geography,Social Science,MU,Professor,1996,66008,97934.72
Geography,Social Science,MU,Professor,1995,62250,95183.49
Geography,Social Science,MU,Professor,1994,60550,95204.4
Geography,Social Science,MU,Professor,1993,66637,107479.03
Geography,Social Science,MU,Professor,1992,65111,108157.81
Geography,Social Science,MU,Professor,1991,64467,110200
Geography,Social Science,MU,Professor,1990,62467,111349.38
Geology,Science and Math,MU,Professor,2009,88634,96236.7
Geology,Science and Math,MU,Professor,2008,97278,105279.22
Geology,Science and Math,MU,Professor,2007,101533,114082.02
Geology,Science and Math,MU,Professor,2006,96681,111769.94
Geology,Science and Math,MU,Professor,2005,90429,107910.5
Geology,Science and Math,MU,Professor,2004,80696,99501.85
Geology,Science and Math,MU,Professor,2003,77390,97962.03
Geology,Science and Math,MU,Professor,2002,77674,100613.99
Geology,Science and Math,MU,Professor,2001,76206,100271.05
Geology,Science and Math,MU,Professor,2000,73014,98801.08
Geology,Science and Math,MU,Professor,1999,78715,110090.91
Geology,Science and Math,MU,Professor,1998,70167,100238.57
Geology,Science and Math,MU,Professor,1997,63885,92721.34
Geology,Science and Math,MU,Professor,1996,62414,92602.37
Geology,Science and Math,MU,Professor,1995,60025,91781.35
Geology,Science and Math,MU,Professor,1994,57820,90911.95
Geology,Science and Math,MU,Professor,1993,56965,91879.03
Geology,Science and Math,MU,Professor,1992,56728,94232.56
Geology,Science and Math,MU,Professor,1991,61467,105071.79
Geology,Science and Math,MU,Professor,1990,56975,101559.71
GREAL,Humanities,MU,Professor,2009,104369,113321.39
GREAL,Humanities,MU,Professor,2008,108172,117069.26
GREAL,Humanities,MU,Professor,2007,104011,116866.29
GREAL,Humanities,MU,Professor,2006,99603,115147.98
GREAL,Humanities,MU,Professor,2005,94866,113205.25
GREAL,Humanities,MU,Professor,2004,91925,113347.72
GREAL,Humanities,MU,Professor,2003,88521,112051.9
GREAL,Humanities,MU,Professor,2002,86099,111527.2
GREAL,Humanities,MU,Professor,2001,83085,109322.37
GREAL,Humanities,MU,Professor,2000,80084,108368.06
GREAL,Humanities,MU,Professor,1999,75613,105752.45
GREAL,Humanities,MU,Professor,1998,71836,102622.86
GREAL,Humanities,MU,Professor,1997,70845,102822.93
GREAL,Humanities,MU,Professor,1996,68033,100939.17
GREAL,Humanities,MU,Professor,1995,64500,98623.85
GREAL,Humanities,MU,Professor,1994,62100,97641.51
GREAL,Humanities,MU,Professor,1993,59600,96129.03
GREAL,Humanities,MU,Professor,1992,57362,95285.71
GREAL,Humanities,MU,Professor,1991,57067,97550.43
GREAL,Humanities,MU,Professor,1990,57300,102139.04
History,Humanities,MU,Professor,2009,99641,108187.84
History,Humanities,MU,Professor,2008,98177,106252.16
History,Humanities,MU,Professor,2007,98923,111149.44
History,Humanities,MU,Professor,2006,91703,106015.03
History,Humanities,MU,Professor,2005,93857,112001.19
History,Humanities,MU,Professor,2004,89448,110293.46
History,Humanities,MU,Professor,2003,88858,112478.48
History,Humanities,MU,Professor,2002,88883,115133.42
History,Humanities,MU,Professor,2001,88578,116550
History,Humanities,MU,Professor,2000,86481,117024.36
History,Humanities,MU,Professor,1999,80243,112227.97
History,Humanities,MU,Professor,1998,78412,112017.14
History,Humanities,MU,Professor,1997,73194,106232.22
History,Humanities,MU,Professor,1996,68153,101117.21
History,Humanities,MU,Professor,1995,65870,100718.65
History,Humanities,MU,Professor,1994,63630,100047.17
History,Humanities,MU,Professor,1993,65171,105114.52
History,Humanities,MU,Professor,1992,63117,104845.51
History,Humanities,MU,Professor,1991,62222,106362.39
History,Humanities,MU,Professor,1990,60278,107447.42
Sociology/Gerontology/Anthropology,Social Science,MU,Professor,2001,74361,97843.42
Sociology/Gerontology/Anthropology,Social Science,MU,Professor,2000,73101,98918.81
Sociology/Gerontology/Anthropology,Social Science,MU,Professor,1997,62911,91307.69
Sociology/Gerontology/Anthropology,Social Science,MU,Professor,1996,60158,89255.19
Sociology/Gerontology/Anthropology,Social Science,MU,Professor,1995,58250,89067.28
Sociology/Gerontology/Anthropology,Social Science,MU,Professor,1994,55333,87001.57
Sociology/Gerontology/Anthropology,Social Science,MU,Professor,1993,56944,91845.16
Sociology/Gerontology/Anthropology,Social Science,MU,Professor,1992,54405,90373.75
Sociology/Gerontology/Anthropology,Social Science,MU,Professor,1991,54840,93743.59
Sociology/Gerontology/Anthropology,Social Science,MU,Professor,1990,54900,97860.96
Communications and Speech Pathology,Other,MU,Professor,1997,65483,95040.64
Communications and Speech Pathology,Other,MU,Professor,1996,60583,89885.76
Communications and Speech Pathology,Other,MU,Professor,1995,58200,88990.83
Communications and Speech Pathology,Other,MU,Professor,1994,56400,88679.25
Communications and Speech Pathology,Other,MU,Professor,1993,54135,87314.52
Communications and Speech Pathology,Other,MU,Professor,1992,61054,101418.6
Communications and Speech Pathology,Other,MU,Professor,1991,61967,105926.5
Communications and Speech Pathology,Other,MU,Professor,1990,60000,106951.87
Kinesiology & Health,Education and Health,MU,Professor,2009,92112,100013.03
Kinesiology & Health,Education and Health,MU,Professor,2008,92112,99688.31
Kinesiology & Health,Education and Health,MU,Professor,2007,88866,99849.44
Kinesiology & Health,Education and Health,MU,Professor,2006,76367,88285.55
Kinesiology & Health,Education and Health,MU,Professor,2005,81927,97764.92
Kinesiology & Health,Education and Health,MU,Professor,2004,77395,95431.57
Kinesiology & Health,Education and Health,MU,Professor,2003,75124,95093.67
Kinesiology & Health,Education and Health,MU,Professor,2002,73133,94731.87
Kinesiology & Health,Education and Health,MU,Professor,2001,70086,92218.42
Kinesiology & Health,Education and Health,MU,Professor,2000,71705,97029.77
Kinesiology & Health,Education and Health,MU,Professor,1999,67103,93850.35
Kinesiology & Health,Education and Health,MU,Professor,1998,64900,92714.29
Kinesiology & Health,Education and Health,MU,Professor,1997,62161,90219.16
Kinesiology & Health,Education and Health,MU,Professor,1996,66750,99035.61
Kinesiology & Health,Education and Health,MU,Professor,1995,68167,104230.89
Kinesiology & Health,Education and Health,MU,Professor,1994,73150,115015.72
Kinesiology & Health,Education and Health,MU,Professor,1993,71050,114596.77
Kinesiology & Health,Education and Health,MU,Professor,1992,69340,115182.72
Kinesiology & Health,Education and Health,MU,Professor,1991,73400,125470.09
Kinesiology & Health,Education and Health,MU,Professor,1990,69067,123114.08
Management,Business,MU,Professor,2009,131168,142419.11
Management,Business,MU,Professor,2008,124381,134611.47
Management,Business,MU,Professor,2007,122095,137185.39
Management,Business,MU,Professor,2006,117750,136127.17
Management,Business,MU,Professor,2005,109063,130146.78
Management,Business,MU,Professor,2004,106871,131776.82
Management,Business,MU,Professor,2003,104490,132265.82
Management,Business,MU,Professor,2002,101262,131168.39
Management,Business,MU,Professor,2001,100831,132672.37
Management,Business,MU,Professor,2000,97029,131297.7
Management,Business,MU,Professor,1999,92946,129994.41
Management,Business,MU,Professor,1998,80983,115690
Management,Business,MU,Professor,1997,85656,124319.3
Management,Business,MU,Professor,1996,76938,114151.34
Management,Business,MU,Professor,1995,75943,116120.8
Management,Business,MU,Professor,1994,75467,118658.81
Management,Business,MU,Professor,1993,73675,118830.65
Management,Business,MU,Professor,1992,71690,119086.38
Management,Business,MU,Professor,1991,61700,105470.09
Management,Business,MU,Professor,1990,59733,106475.94
MIS,Business,MU,Professor,2008,146708,158774.89
MIS,Business,MU,Professor,2007,141564,159060.67
MIS,Business,MU,Professor,2006,133228,154020.81
MIS,Business,MU,Professor,2005,124139,148137.23
MIS,Business,MU,Professor,2004,117358,144707.77
MIS,Business,MU,Professor,2003,112926,142944.3
MIS,Business,MU,Professor,2002,106781,138317.36
MIS,Business,MU,Professor,2001,103981,136817.11
MIS,Business,MU,Professor,2000,103662,140273.34
MIS,Business,MU,Professor,1999,95849,134054.55
MIS,Business,MU,Professor,1998,91031,130044.29
MIS,Business,MU,Professor,1997,86375,125362.84
MIS,Business,MU,Professor,1996,79449,117876.85
MIS,Business,MU,Professor,1995,74525,113952.6
MIS,Business,MU,Professor,1994,71675,112696.54
MIS,Business,MU,Professor,1993,70707,114043.55
MIS,Business,MU,Professor,1992,66323,110171.1
MIS,Business,MU,Professor,1991,68000,116239.32
MIS,Business,MU,Professor,1990,66000,117647.06
Marketing,Business,MU,Professor,2009,144143,156507.06
Marketing,Business,MU,Professor,2008,145130,157067.1
Marketing,Business,MU,Professor,2007,140760,158157.3
Marketing,Business,MU,Professor,2006,131083,151541.04
Marketing,Business,MU,Professor,2005,116496,139016.71
Marketing,Business,MU,Professor,2004,110390,136115.91
Marketing,Business,MU,Professor,2003,105108,133048.1
Marketing,Business,MU,Professor,2002,102748,133093.26
Marketing,Business,MU,Professor,2001,106957,140732.89
Marketing,Business,MU,Professor,2000,104446,141334.24
